[10:04]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Feb/0002.html
[10:05]	<manu1>	Scribe: taaz
[10:06]	<taaz>	manu1: Any additions to the agenda?
[10:07]	<taaz>	manu1: I read through every issue this weekend and tried to understand where issue logger was coming from and come up with solution that might get consensus. Some proposals worked out and some did not. We'll handle those as we go.
[10:07]	<taaz>	manu1: Would anyone have time next week for a 2 hour super session?
[10:07]	<taaz>	gkellogg: yes
[10:07]	<taaz>	niklasl: maybe
[10:07]	<taaz>	manu1: Alternative is to go through issues and say which proposals you agree with. Can ask Markus to do the same and make some headway.
[10:07]	<taaz>	manu1: Maybe we can get people to put comments on the mailing list.
[10:08]	<taaz>	gkellogg: My talk was accepted at SemTechBiz in San Francisco in June.
[10:08]	<taaz>	manu1: Awesome! Very cool. Great, the first mention of JSON-LD at a conference.
[10:08]	<taaz>	gkellogg: Should be timeline, hopefully we get through more issues by then!
[10:08]	<taaz>	manu1: Hopefully we get through them and no one raise any more!
[10:08]	<manu1>	Topic: ISSUE-46: Absolute IRI detection
[10:08]	<manu1>	https://github.com/json-ld/json-ld.org/issues/46
[10:08]	<taaz>	manu1: Issue related to how you figure out what a relative IRI is and what an absolute IRI is. The proposal is if key contains a colon then it's a compact IRI if the prefix is in the active context, otherwise it's an absolute IRI. Basically saying there are no relative IRIs on the left hand side. Hopefully that's in line with discussion from last week. Anyone opposed to that proposal?
[10:08]	-->|	advatar (~advatar@ua-83-227-134-140.cust.bredbandsbolaget.se) has joined #json-ld
[10:09]	<gkellogg>	SemTechBiz in San Francisco this June
[10:09]	<niklasl>	q+
[10:09]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[10:09]	<manu1>	ack niklasl
[10:09]	<voip-ld>	niklasl has the floor. The speaker queue is empty.
[10:10]	<taaz>	niklasl: Did you say anything about keys defined?
[10:10]	<taaz>	manu1: Yeah. If the key has a colon in it then you split on the colon and look up the prefix in the context. If that's there then you expand it, or rather you say it's an CURIE and the prefix is defined in the context. If the prefix is not defined in the context then it is an absolute IRI. mailto: would be a good example of that.
[10:10]	<taaz>	niklasl: I'd really like that safety mechanism that we did in RDFa as well, the double slash.
[10:10]	<taaz>	manu1: I'm wondering if we need that safety mechanism is JSON-LD. The reason I don't think we need it is I don't think someone is going accidentally put in http:// and need it to be anything other than an absolute IRI in JSON-LD in the key position.
[10:11]	<taaz>	niklasl: But that's an argument for because not meaning it to be an absolute that's the intent of preventing the expansion of anything that begins with double slash. Most of this is theoretical but there the case where you create JSON-LD from RDFa and that RDFa would be careless about using old http prefix. Same thing goes for any other protocol. It's the same reasoning as in RDFa. My argument here was that we don't know how the JSON-LD is going to be created so if you use external definitions for prefixes and also since we don't differ between prefixes and terms we will have a lot more definitions which might accidentally collide with some scheme. The risk might be greater than with RDFa.
[10:12]	<taaz>	manu1: I could go either way on it. I think it's a valid argument but I don't know how high the risk is. I'm concerned with putting in features that prevent things that are not a high risk. Anyone have input on this?
[10:12]	<taaz>	gkellogg: If you were to take an RDFa document and transform it to JSON-LD where there was confusion in the RDFa document that prevented the thing from being interpreted as a CURIE would it now look like a CURIE because of the environmental prefixes. Would you end up with a different interpretation? I'm not sure if that would happen or not.
[10:13]	<taaz>	manu1: The RDFa processor would probably convert it to JSON-LD from the triples not from the raw text. In RDFa you would emit an IRI not a text string.
[10:14]	<taaz>	gkellogg: You would tend to pull over your same prefixes so you can output a document that looks good. So if you pull over your prefixes and use them to define CURIES you might have an issues. We probably need a concrete use case to see how that would work. It seems at this point is the lifecycle of JSON-LD it would add some more complication which might make it more difficult to get people to adopt it. The advantage of your proposal is that it is very simple.
[10:14]	<taaz>	manu1: There is an argument here that I can see this happening during Last Call just like it did for RDFa.
[10:14]	<taaz>	niklasl: The thing is that it will go unnoticed until it appears and then there is no way to stop it. I've been scared of this potential risk since last summer because it looks so innocent until it really corrupts your data. And Shane also discovered the widget URI scheme, which is called "widget", and it's not inconceivable for someone to define at least a term called widget. Given that we have those intermingled, there is no different between terms and prefixes. It feels uncomfortable to me.
[10:15]	<taaz>	manu1: The proposal would change that says that any key that contains "://", where two slashes are after the first colon, would be an absolute IRI. Any issues with that?
[10:15]	|<--	taaz has left freenode (Ping timeout: 240 seconds)
[10:16]	<taaz>	gkellogg: I'm fine with it.
[10:17]	<manu1>	PROPOSAL: If a key in a JSON-LD document contains a colon, it is a CompactIRI if the prefix is defined as a term in the active context, otherwise it is an AbsoluteIRI. The only exception to this rule is if "//" follows the first colon, and in that case, the value is an AbsoluteIRI.
[10:17]	<manu1>	+1
[10:17]	<gkellogg>	+1
[10:17]	<niklasl>	+1
[10:17]	<taaz>	niklasl: We should change the contains a colon in either case because it could contain more than one colon.
[10:18]	<niklasl>	If a key in a JSON-LD document contains a colon and the first colon is not followed by "//"...
[10:18]	<taaz>	manu1: I was going to say we could just edit the document and put the right thing in and people will complain if it's not right.
[10:18]	<taaz>	gkellogg: Do we have wording from RDFa?
[10:18]	<taaz>	manu1: We do.
[10:18]	<taaz>	gkellogg: Is it worse?
