[10:01]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Aug/0011.html
[10:02]	<manu1>	scribe: manu1
[10:03]	<manu1>	manu: Anything else that needs to be on the agenda?
[10:03]	<manu1>	Topic: JSON-LD at NoSQL conference
[10:03]	<manu1>	gregg: I'm talking at the NoSQL conference, please review my slides.
[10:03]	<manu1>	manu: What's the strategy with this talk?
[10:04]	<manu1>	gregg: Stay away from the algorithms, introducing the concepts - expanded form / compacted form - discussion on how to get to compacted form. Benefits between expanded and compacted form.
[10:05]	<manu1>	gregg: Integration w/ JSON-LD w/ databases like MongoDB or CouchDB - use references, use object-level granularity, graphify() vs. other approaches to working with the data.
[10:05]	<manu1>	gregg: Tying into backbone.js - trying to retrieve from DB, map to model (backbone), and display. Mostly practical experience and how to use JSON-LD in production code.
[10:06]	<manu1>	gregg: I've built a serialization of schema.org and other stuff into JSON-LD serialization... which feeds Backbone application that gives cool documentation for all of the API points - used constraints quite a bit to give more structure. Also built an object editor - object model defined by schema... helps create/edit/validate all object instances, which are then stores in MongoDB collection.
[10:07]	<manu1>	gregg: Any app built on any schema, very useful.
[10:07]	<manu1>	manu: Would you be able to put it out as open source at some point?
[10:07]	<manu1>	gregg: I think so.
[10:07]	<manu1>	gregg: Did lots of the backend in CoffeeScript.
[10:08]	<manu1>	niklas: Yeah, CoffeeScript is nice... also use JavaScript. Nicer to work in CoffeeScript.
[10:03]	<manu1>	Topic: In-memory JSON-LD object representation
[10:08]	<manu1>	gregg: This type of application shows the advantages of Linked Data models... I think I'd like .link() instead of .graphify() because that's what you're really doing here.
[10:09]	<manu1>	gregg: When I edit a specific object, I can do a query to get back any object that has a relationship to a particular object... then tie them together using .link() - pretty useful term for what I'm doing.
[10:09]	<manu1>	niklas: I use .connect() in my RDFa experiment.
[10:10]	<manu1>	niklas: In my RDF lab - simple idea - a schema vocabulary presentation and then some kind of editor. Did this years ago, but would like to try it out w/ JSON-LD approach.
[10:11]	<niklasl>	http://niklasl.github.com/rdfa-lab/examples/rdfa-dom-usage
[10:12]	<manu1>	niklasl: I use an HTML5 data-* attribute to store the expanded version of the RDFa data...
[10:12]	<manu1>	niklasl: I go from RDFa to JSON-LD directly...
[10:13]	<manu1>	niklas: I'll eventually put all of this up on the wiki - real goal of this experiment is to put more of the parser logic into the DOM API to eventually be able to produce JSON-LD from the DOM API.
[10:13]	<manu1>	niklas: I think it'll be pretty small amount of JavaScript.
[10:13]	<manu1>	niklas: Trying to find a balance between logic needed to extract @context from DOM and what the current term represents.
[10:14]	<manu1>	niklas: If it has a subject that comes from a subject element, these things can be put together simply w/o extracting triples... conversion to JSON-LD should be easy.
[10:14]	<manu1>	niklas: The goal of the DOM API is to navigate through the DOM using RDF concepts.
[10:15]	<manu1>	manu: Yes, that's good - extracting JSON-LD is very good.
[10:16]	<manu1>	niklas: The Microdata API actually gives you back elements carrying the properties, then if you do .toJSON() you get the JSON representation at that point. It dawned on me that that may be the way forward for the DOM API. You want to be able to navigate the HTML elements using RDFsubjects/objects/ etc.
[10:16]	<manu1>	manu: Ok, anything else to add to the Agenda before we start?
[10:17]	<manu1>	Topic: @language / @vocab Intransitivity
[10:17]	<manu1>	niklas: It might make sense to make @vocab and @language intransitive? If you inherit a context from another context, you don't necessarily inherit the @language. If you have a @context which sets the language, you don't see that. Maybe the closest context should affect the language.
[10:19]	<manu1>	manu: my concern is that it complicates things (@language acts differently in different places) and prevents certain things from working (like being able to set @language in @context).
[10:19]	<manu1>	niklasl: Is @vocab in there now?
[10:19]	<manu1>	gregg: Yes, it's in there now, Markus added it.
[10:20]	<manu1>	gregg: Also, there is now spec text for a more formal description of JSON-LD...
[10:20]	<manu1>	manu: Yes, haven't had a chance to look at it yet, hope to do so tsoon.
[10:20]	<manu1>	gregg: I haven't pinged Andy Seaborne on it yet...
[10:22]	<manu1>	manu: Yes, we need to publish a new Working Draft via RDF WG as well - we should do it soon.
[10:22]	<niklasl>	https://github.com/RDFLib/rdflib-jsonld
[10:23]	<manu1>	niklas: I updated the JSON-LD implementation for rdflib.
[10:23]	<manu1>	Topic: ISSUE-80: Remove initial context from API spec
[10:23]	<manu1>	https://github.com/json-ld/json-ld.org/issues/80
[10:24]	<manu1>	manu: I think we left it at: Gregg and me wanting to put it in the spec, Markus and Niklas not wanting to put it into the spec.
[10:24]	<manu1>	niklasl: It might be nice to have xsd and rdf pre-defined..
[10:24]	<manu1>	gkellogg: Maybe schema as well?
[10:25]	<manu1>	gkellogg: I end up setting @vocab to "http://schema.org/" for most of what we're doing.
[10:25]	<manu1>	niklasl: I don't think we should do that (set @vocab to schema.org)
[10:27]	<manu1>	manu: It might be helpful to have pre-defined terms, but it might also make it more difficult to understand JSON-LD
[10:28]	<manu1>	niklasl: We might want to "level the ground" to not have implicit prefixes... if we decide to have an initial context, it should be able to completely cancel it by setting "@context": [null, x, y z]
[10:28]	<manu1>	gkellogg: I rarely use "rdf" namespace in JSON-LD. One advantage of JSON-LD is that there is support for datatypes. If you do any support for datatypes, you need "xsd". I continue to forget to include it and I have to go and look up the URI.
[10:29]	<manu1>	gkellogg: I think that having "xsd" as a pre-defined term in the initial context would be very useful, avoid many easy mistakes.
[10:30]	<manu1>	markus: You don't really use "xsd" that often... mostly for dates.
[10:30]	<manu1>	gkellogg: I also use it for owl serialization stuff - most of the cardinality stuff are unsigned integers.
[10:31]	<manu1>	gkellogg: You have to declare something - not a typical usage pattern.
[10:31]	<manu1>	niklasl: schema.org have defined their own datatypes, which are basically string-derived.
[10:32]	<manu1>	gkellogg: OWL definition they have they end up being object properties - it's not very useful. rdfs.org version is much better in that regard, doesn't contain as much ranging information.
[10:32]	<manu1>	gkellogg: Interesting to note that you can't really do this modeling round-tripping in Microdata.
[10:33]	<manu1>	niklas: Take a look at the RDFa representation, they don't use rdfs:range and rdfs:domain... they use schema:range and schema:domain.
[10:33]	<manu1>	q+ to get back to initial context
[10:33]	<voip-ld>	Added manu1 to the speaker queue: manu1
[10:34]	<manu1>	ack manu1
[10:34]	<voip-ld>	manu1 has the floor (to get back to initial context). The speaker queue is empty.
[10:35]	* niklasl	is sleep deprived, making me prone to digress ;]
[10:36]	<manu1>	markus: This is convenient - but I don't think prefixes are one of the "good" features of JSON-LD.
[10:36]	<gkellogg>	q+ about prefixes
[10:36]	<voip-ld>	Added gkellogg to the speaker queue: gkellogg
[10:36]	<manu1>	markus: I think that w/o prefixes, they don't have value for you - and they may clash.
[10:36]	<manu1>	niklas: I think that if we add prefixes - anything used as a prefix cannot be used as a default term unless you reset it, they will collide.
[10:37]	<manu1>	niklas: Maybe we discussed this before - possibility of defining a term w/ a trailing colon to mean "only use this as a prefix, never a term".
[10:37]	<manu1>	markus: Argument against that is "no microsyntaxes"
[10:37]	<manu1>	niklas: There was a collision which would be preventable w/o the term. I defined a thing to use as a prefix locally, to make term declarations simpler/more compact.
[10:38]	<manu1>	niklas: The problem was that I did not want the prefix to be used later on in general, it ended up somewhere I wanted to use it.
[10:38]	<manu1>	ack gkellogg
[10:38]	<voip-ld>	gkellogg has the floor (about prefixes). The speaker queue is empty.
[10:38]	<manu1>	gkellogg: I do use prefixes a lot, mostly in context definition.
[10:39]	<manu1>	gkellogg: Within data, I rely on terms for things I explicitly use in my code. When I do things to work w/ more generic data, terms/curies don't impact me at all. When working with multiple vocabs, better to keep things in a CURIE syntax.
[10:39]	<manu1>	q+ to discuss CURIE usage and xsd.
[10:39]	<voip-ld>	Added manu1 to the speaker queue: manu1
[10:39]	<manu1>	gkellogg: Translation from TURTLE is more natural when using CURIEs as long as you have access to prefix definitions.
[10:39]	<manu1>	markus: In that case, there is no danger for forgetting declaration - comes from TURTLE.
[10:40]	<manu1>	gkellogg: I was responding to "CURIEs not very useful" statement.
[10:40]	<manu1>	gkellogg: I think the only one that needs to be in there is XSD.
[10:40]	<manu1>	ack manu1
[10:40]	<voip-ld>	manu1 has the floor (to discuss CURIE usage and xsd.). The speaker queue is empty.
[10:41]	<niklasl>	q+ to compare with turtle (which doesn't have any default prefixes afaik)
[10:41]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[10:42]	<manu1>	ack niklasl
[10:42]	<voip-ld>	niklasl has the floor (to compare with turtle (which doesn't have any default prefixes afaik)). The speaker queue is empty.
[10:43]	<manu1>	manu: I think I don't want an initial context in there now... you only need "xsd" when you are declaring contexts, you don't do that that often.
[10:43]	<manu1>	manu: If we really need to put this feature in, then we can do so in the implementations later on.
[10:44]	<manu1>	gkellogg: At this point, I don't feel strongly enough to object to not having it. My feeling is that it does more good than harm... but I'll just do a -0 on a resolution.
[10:44]	<manu1>	PROPOSAL: Do not support an initial context in JSON-LD 1.0.
[10:44]	<manu1>	+1
[10:44]	<niklasl>	+0.75
[10:44]	<mlnt>	+1
[10:44]	<gkellogg>	-0
[10:44]	<manu1>	RESOLVED: Do not support an initial context in JSON-LD 1.0.
[10:45]	<manu1>	Topic: ISSUE-150: Use of native types in from/to RDF
[10:45]	<manu1>	https://github.com/json-ld/json-ld.org/issues/150
[10:46]	<manu1>	Markus: before we decided to have a "useNativeTypes" flag in the fromRDF() algorithm, it automatically assumes we're using "xsd:boolean", "xsd:double", etc.
[10:46]	<manu1>	Markus: Dave Longley proposed to split that flag into 4 different flags that specify the datatype for each of the native types... one flag for integers (maps by default toxsd:integer), and so on.
[10:46]	<manu1>	Markus: The question is whether or not we want to do that.
[10:48]	<manu1>	gkellogg: It's been several months since this came up - but adding flags to the RDF serialization makes it a little bit crufty and unwieldy. I'd rather come up with a set of practices that are just constrained to the RDF serialization. Let's just fix these things, if you're transforming an integer fromRDF() to RDF, you can represent it fairly easily in TURTLE (as an integer).
[10:48]	<manu1>	Markus: The question is in the other direction - if you're doing fromRDF() and you want to convert "unsigned integers" to "integers", then you would want to do this.
[10:49]	<manu1>	gkellogg: I don't find the value to represent this as a non-negative integer as something else.
[10:50]	<manu1>	manu: My concern is that we're closing off some use case by not allowing this to happen.
[10:51]	<manu1>	gkellogg: If everything I was doing was using the JSON-LD API, then everything I was doing through the API calls...
[10:51]	<manu1>	gkellogg: I have an RDF distiller, it hasn't needed any special attributes for any particular serialization.
[10:52]	<manu1>	gkellogg: I think that my serializes for TURTLE do not make use of the native representation for these things by default. There might be some tools, but I use string representations for things.
[10:52]	<niklasl>	q+
[10:52]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[10:53]	<niklasl>	q-
[10:53]	<voip-ld>	Removed niklasl from the speaker queue: (empty)
