[10:06]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Sep/0006.html
[10:07]	<manu1>	scribe: manu1
[10:07]	<manu1>	Manu: Gregg, Francois not here today. Dave Lehn will be here shortly. Let's discuss the approach for solving these issues.
[10:08]	<manu1>	Manu: Any additions/changes to the Agenda?
[10:08]	<manu1>	No changes
[10:09]	<manu1>	Topic: ISSUE-113: IRI compaction algorithm
[10:09]	<manu1>	https://github.com/json-ld/json-ld.org/issues/113
[10:09]	<manu1>	Markus: The problem was that we never defined how we're going to do IRI compaction, but that has been since corrected, though not ideally the way we wanted it to be.
[10:10]	<manu1>	Markus: Gregg updated the spec - currently, there is an algorithm that is not understandable without implementing it. It isn't explained how the numbers were generated. If you don't implement it, you have a difficult time understanding what the algorithm is doing.
[10:11]	<manu1>	Markus: It's just a very difficult to understand algorithm. It makes it quite difficult to explain to people what compaction does. It's kind of a black box at the moment.
[10:11]	<manu1>	Manu: So, what's the plan here? Make the language simpler?
[10:12]	<manu1>	Markus: We should consider IRI compaction algorithm and term ranking algorithm when simplifying.
[10:12]	<manu1>	Markus: Pseudo-code in the issue is easier to understand.
[10:12]	<manu1>	Markus: Gregg disagrees, and Dave needs more time to look at it.
[10:13]	<manu1>	Manu: Dave Longley's concern is that all the algorithms, because we're focused on corner cases, are getting difficult to understand. Perhaps what we should do is simplify greatly, and ignore corner cases. One way we could do this is say that if there is ever a term conflict, that we should just throw an error and have the error callback handle the selection of the proper term. The problem with that approach is that developers may choose the wrong way to select the term (or at the very least, it's non-interoperable - or they have to publish their algorithm). To get around that, we could publish the "proper" term matching algorithm along with the JSON-LD API and that can be the default for the .compact() option for the error handler. The problem with that is that we end up having the same amount of complexity in there that we do today.
[10:16]	<niklasl>	Manu: The other option is that we can explain the algorithm better, but that doesn't remove the complexity of the algorithm.
[10:16]	<niklasl>	Manu: we could explain the algorithm like this: the algorithm picks the most specific term; but there are complications for this in the edge cases.
[10:17]	<niklasl>	Manu: so should we simplify it, or can we settle for explaining it better?
[10:17]	<niklasl>	q+
[10:17]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[10:17]	<manu1>	Markus: What do you mean by conflict?
[10:17]	<manu1>	Manu: Two terms that have the same IRI, but one of them has a datatype - which one is picked?
[10:17]	<manu1>	ack niklasl
[10:17]	<voip-ld>	niklasl has the floor. The speaker queue is empty.
[10:18]	<manu1>	niklasl: I haven't had time recently to grasp the current algorithm. I hope that we could simplify it to some extent.
[10:18]	<manu1>	niklasl: There are many edge cases, are there test cases?
[10:18]	<manu1>	manu: yes, lots of test cases.
[10:19]	<manu1>	niklasl: Perhaps having different terms for date vs. datetime. Author name (dc:creator with a string) vs. with a URI reference. Those would be good to keep.
[10:19]	<manu1>	niklasl: Not having spent too much time on this recently, I hope that we could make some sort of binary check - either it's a perfect match, or if there is a term for it, use that. So, we don't have multiple steps for checking (to see if there is something matching)
[10:20]	<niklasl>	Manu: the current algorithm is a multistep process; it ranks the terms. We do have test cases for them.
[10:21]	<niklasl>	Manu: There are multiple ways of implementing it. The selection algorithm is very complex because it deals with all the corner cases.
[10:21]	<niklasl>	Manu: Dave Longely proposes to deal with less corner cases, and raise an error if there's a corner case conflict. That has advantages and disadvantages.
[10:23]	<voip-ld>	David I. Lehn (SIP/71.63.61.82-00000004) has joined the conference.
[10:25]	<manu1>	Manu: The big issue is figuring out, when there is a corner case, which term gets picked.
[10:27]	<manu1>	niklasl: If I have a property 'age' and a value that is an integer, that would be straight forward to pick - that property and three terms - if one of them was coerced to an integer, that one would be picked. If a term was coerced to a list, it wouldn't be picked.
[10:27]	<manu1>	Manu: The issue is that the algorithm to do that is complex.
[10:28]	<manu1>	niklasl: I haven't actually implemented that algorithm yet - I'm about to.
[10:29]	<manu1>	niklasl: I'd map the property IRI to an object that itself has a type dictionary, a container dictionary, or a default property IRI mapping.
[10:30]	<manu1>	niklasl: I can see there is a certain complexity involved if you are looking for something that is both coerced to a datatype and it has a certain container (ie: has multiple values)... I don't understand why you need to rank items.
[10:30]	<manu1>	Markus: Gregg wrote it, so he'd know best.
[10:31]	<manu1>	Markus: I didn't implement it as it is in the spec, I couldn't figure out how to implement it from the spec. The idea is that you have a number of terms or complex IRIs (prefix/suffixes), or even the full IRI, and you assign a number to them (to the IRI/value pair) which expresses how well it matches.
[10:31]	<manu1>	Markus: So, for example, if you have just one term with one IRI a 1, but you have something that has a datatype and it matches, that gets a value of 2 and wins, etc.
[10:32]	<mlnt>	http://json-ld.org/spec/latest/json-ld-api/#term-rank-algorithm
[10:32]	<manu1>	Markus: There are a number of corner cases there too. My problem with the spec is that if you read the algorithm, ... for example if rank is > 0 and term is ... you don't know how the numbers were created. It's difficult to understand what's going on by looking at the numbers.
[10:33]	<mlnt>	My proposal is this... https://github.com/json-ld/json-ld.org/issues/113#issuecomment-5567976
[10:39]	<niklasl>	q+
[10:39]	<voip-ld>	Added niklasl to the speaker queue: niklasl
