[10:05]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Nov/0019.html
[10:06]	* tidoust	ready to scribe
[10:06]	<manu1>	scribe: tidoust
[10:06]	<mlnt>	We should discuss https://github.com/json-ld/json-ld.org/issues/182 first, there was some discussion about it on last week's RDF WG telecon.
[10:06]	<manu1>	Topic: ISSUE-182: Dataset vs. Graph
[10:07]	<tidoust>	mlnt: I gave a quick update on JSON-LD during last week's RDF telecon
[10:07]	<gkellogg>	http://www.w3.org/2011/rdf-wg/track/issues/105
[10:07]	<tidoust>	… and we came across issue 105 about dataset syntaxes vs. graph syntaxes
[10:08]	<tidoust>	… the issue is that if we dereference a URI and get a graph, it wouldn't be the same as getting a dataset even if the data is the same.
[10:09]	<tidoust>	… One solution is that we put in JSON-LD spec that we treat the data in the default graph in the JSON-LD Dataset as the graph in a usual graph-based serialization.
[10:09]	<tidoust>	Manu: That seems a reasonable way to address the issue.
[10:09]	<tidoust>	… What you're saying is that the RDF WG wouldn't have a problem with that?
[10:09]	<tidoust>	mlnt: The RDF WG does not say anything about these semantics.
[10:10]	<gkellogg>	q+
[10:10]	<voip-ld>	Added gkellogg to the speaker queue: gkellogg
[10:10]	<manu1>	ack gkellogg
[10:10]	<voip-ld>	gkellogg has the floor. The speaker queue is empty.
[10:10]	<tidoust>	… Richard made the comment that this could be generalized. The idea would be that we come up with a proposal and push it to the RDF WG. They don't have a lot of interest in the issue otherwise and might just close it.
[10:10]	<tidoust>	gkellogg: I wonder if default graph is really the right choice.
[10:11]	<tidoust>	… Let's say that you have a datasource in Turtle that describes a book.
[10:11]	<tidoust>	… It would be natural to put the metadata about the book in the default graph in JSON-LD.
[10:11]	<tidoust>	… and you could put the description of the book in the named graph whose name is the location of the document.
[10:12]	<tidoust>	… If the @graph keyword is used, then perhaps it makes things more explicit.
[10:12]	<tidoust>	Manu: It seems that it would be more of a Best Practice thing.
[10:12]	<tidoust>	… Does not seem to require any MUST or SHOULD.
[10:12]	<tidoust>	… It seems that what Markus is proposing is easier.
[10:13]	<tidoust>	gkellogg: I think it's less a JSON-LD issue than a dataset issue.
[10:13]	<tidoust>	… If you use a dataset in a graph, you could use all the data, and it's not wrong. You'd have more data.
[10:14]	<tidoust>	mlnt: also discussed during the telecom, but that would mean that you could not generically do content-negotiation with JSON-LD because it would be up to the application to decide where it puts the information.
[10:15]	<tidoust>	… By default, if you put all info in a named graph that has the same URI, you end up with sort of two default graphs, which sounds weird.
[10:15]	<tidoust>	gkellogg: that would be two named graphs.
[10:15]	<tidoust>	… Question is what does the receiver do with the data it receives?
[10:16]	<tidoust>	mlnt: problem is that there would be no way to interpret the data in a generic way.
[10:16]	<tidoust>	gkellogg: we just need to describe what the behavior should be on the client side.
[10:17]	<tidoust>	… I could see an argument for just flattening, basically just stripping off the named graphs.
[10:17]	<tidoust>	Manu: concerned about data loss, meaning references to the named graph.
