[Tue 10:04]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2013Jan/0052.html
[Tue 10:05]	<manu-db>	scribe: manu-db
[Tue 10:05]	<manu-db>	Topic: ISSUE-204: Design Issue with Relative IRIs and Compaction
[Tue 10:06]	<manu-db>	https://github.com/json-ld/json-ld.org/issues/204#issuecomment-12528503
[Tue 10:07]	<niklasl>	q+
[Tue 10:07]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[Tue 10:07]	<manu-db>	manu: Dave Longley was implementing this feature and found that the decision we made last week keeps us from implementing something pretty important for PaySwarm. It prevents us from using terms for @ids, so something like this: "rateType": "FlatAmount" isn't allowed anymore, where FlatAmount should expand to http://purl.org/payswarm#FlatAmount
[Tue 10:09]	<manu-db>	gkellogg: So, if it's a relative IRI, it's fine, right?
[Tue 10:09]	<manu-db>	manu: We'll it's not a relative IRI, it's a term. The decision we made on the call last week makes it impossible to use a term in @id.
[Tue 10:09]	<manu-db>	gkellogg: Ah, I see. I don't agree that it doesn't allow it... we made a decision on syntax, not a decision about semantics.
[Tue 10:10]	<manu-db>	niklasl: I think it's an issue, and I thought this might be an issue when we made the decision. We may want a new thing like @symbol (or @term) for this use case. I would not want to revert a decision on @id itself because of the problem with relative IRIs. We did that to stay aligned with the treatment of values in the resource attribute of RDFa. If you want something for type coercion, we need a new keyword that would have the lexical scope the same as what in RDFa is a term or CURIE or IRI.
[Tue 10:11]	<manu-db>	gkellogg: I don't see how this is any different from a CURIE, why doesn't it just expand?
[Tue 10:11]	<manu-db>	manu: We already support CURIEs, but we removed terms because of the potential to conflict with relative IRIs.
[Tue 10:12]	<manu-db>	manu: Niklas, I'm confused to how what you're proposing would solve the issue.
[Tue 10:12]	<niklasl>	Right now, we can do this in the context - "@type": {"@id": "rdf:type", "@type": "@id"}
[Tue 10:12]	<niklasl>	we could add a feature to do this: "@type": {"@id": "rdf:type", "@type": "@symbol"}
[Tue 10:12]	<manu-db>	niklasl: So, you would do something like this in @context: - "rateType": {"@type": "@symbol", "@id": "http://purl.org/payswarm#rateType"}
[Tue 10:13]	<manu-db>	manu: Yeah, downside being added complexity to terms. I think relative IRIs cause more harm than it helps, do we really need them?
[Tue 10:13]	<manu-db>	niklasl: I think it's common practice to have IRIs and URLs as relative - they want to put that into JSON and add a context.
[Tue 10:14]	<manu-db>	gkellogg: This is done in RDFa and TURTLE and most every other RDF serialization.
[Tue 10:14]	<manu-db>	niklasl: RDFa is almost too close - processing terms in JSON-LD in @id is over-the-top for my acceptable-risk level.
[Tue 10:14]	<manu-db>	gkellogg: But you're okay with having relative IRIs, you might do resource="#this", that's fine?
