[2018-02-26T16:13:05.821Z]	<bigbluehat> ...and it'd be good to have them wrapped up as much as possible before voting ends
[2018-02-26T16:13:05.821Z]	<bigbluehat> ...technical issues can stay open, for the WG to address after it's official
[2018-02-26T16:13:05.821Z]	<bigbluehat> ...but the chairs and staff will need to discuss specifics of the issues list
[2018-02-26T16:13:05.821Z]	<gkellogg> topic: Pull Requests
[2018-02-26T16:13:05.821Z]	<bigbluehat> gkellogg: there are 3 open PRs that are under consideration
[2018-02-26T16:13:05.821Z]	<bigbluehat> ...2 are pretty straightforward
[2018-02-26T16:13:05.821Z]	<bigbluehat>	...unless someone wants to discuss these more now, I'm going to propose that we'll adopt them now
[2018-02-26T16:13:22.114Z]	<gkellogg>	PROPOSAL: accept PR #594 and #593
[2018-02-26T16:13:33.442Z]	<gkellogg>	+1
[2018-02-26T16:13:40.892Z]	<azaroth>	+1
[2018-02-26T16:13:42.539Z]	<iherman>	0 (I have not looked at them:-(
[2018-02-26T16:13:48.550Z]	<niklasl>	+1 (with caveat that I haven't really looked at 593)
[2018-02-26T16:13:51.612Z]	<PaoloC>	0
[2018-02-26T16:13:51.883Z]	<TallTed>	+0
[2018-02-26T16:14:11.690Z]	<bigbluehat>	https://github.com/json-ld/json-ld.org/pull/593
[2018-02-26T16:14:18.656Z]	<bigbluehat>	...Update the Expansion Algorithm to use an explicit _frame expansion_ flag
[2018-02-26T16:14:28.972Z]	<bigbluehat>	https://github.com/json-ld/json-ld.org/pull/594
[2018-02-26T16:14:37.606Z]	<bigbluehat>	Fix compaction on scoped contexts based on @type
[2018-02-26T16:15:13.219Z]	<bigbluehat>	+1
[2018-02-26T16:15:18.326Z]	<gkellogg>	RESOLVED: accept PR #94 and #593
[2018-02-26T16:15:30.086Z]	<bigbluehat>	gkellogg: we can always look at these more in the future
[2018-02-26T16:15:37.069Z]	<bigbluehat>	Topic: Issues
[2018-02-26T16:15:42.840Z]	<gkellogg>	topic: #488 Properties can not be relative IRI
[2018-02-26T16:15:45.387Z]	<bigbluehat>	...TallTed is here to talk relative IRI resolution
[2018-02-26T16:16:10.719Z]	<bigbluehat>	TallTed: the basic point is that we want to be able to use JSON-LD in the same way we use Turtle
[2018-02-26T16:16:22.575Z]	<gkellogg>	https://github.com/json-ld/json-ld.org/issues/488
[2018-02-26T16:16:39.933Z]	<bigbluehat>	...current the difference between the two formats handling of URIs is odd to say the least
[2018-02-26T16:16:49.036Z]	<bigbluehat>	...especially the difference between property and values
[2018-02-26T16:17:13.944Z]	<bigbluehat>	gkellogg: RDFa has a vocab attribute that works to make values relative
[2018-02-26T16:17:23.734Z]	<bigbluehat>	...perhaps niklas's memory on this would be helpful
[2018-02-26T16:17:43.648Z]	<bigbluehat>	...I believe we'd talked about relative URIs using concatenation rather than RFC3986's IRI resolution
[2018-02-26T16:17:48.958Z]	<iherman>	q+
[2018-02-26T16:17:59.013Z]	<gkellogg>	q?
[2018-02-26T16:18:07.644Z]	<bigbluehat>	...and there was concern of undesirable effects
[2018-02-26T16:18:53.602Z]	<bigbluehat>	niklasl: the confusion might be cleared up with the understanding that the value of keys is like pnames in turtle
[2018-02-26T16:19:03.391Z]	<bigbluehat>	...and the value space of @id is similar to the < > space in turtle
[2018-02-26T16:19:27.995Z]	<bigbluehat>	...with the caveat of the @type value...which maps to the short names of types in Turtle
[2018-02-26T16:19:47.662Z]	<bigbluehat>	...consequently I'm not sure I quite see the conflict
[2018-02-26T16:20:02.701Z]	<bigbluehat>	...if you don't use string concatenation, then you can't use anything ending in a #
[2018-02-26T16:20:15.815Z]	<bigbluehat>	...because it doesn't survive the relativization process
[2018-02-26T16:20:26.263Z]	<bigbluehat>	TallTed: I can see that it doesn't have a zero basis
[2018-02-26T16:20:31.253Z]	<bigbluehat>	...but I fear the confusion will persist
[2018-02-26T16:20:34.164Z]	<bigbluehat>	...and not just for us
[2018-02-26T16:20:37.317Z]	<gkellogg>	q+
[2018-02-26T16:20:38.751Z]	<bigbluehat>	...I understand the arguments
[2018-02-26T16:20:50.013Z]	<bigbluehat>	...we'd like to express the same thing with a JSON-LD doc as a Turtle doc
[2018-02-26T16:20:52.941Z]	<bigbluehat>	...that's what we need
[2018-02-26T16:21:03.110Z]	<bigbluehat>	...and that relative URI is what we feel we need to do that
[2018-02-26T16:21:23.120Z]	<gkellogg>	ack: iherman
[2018-02-26T16:21:28.883Z]	<bigbluehat>	...that thing that makes it trivial to throw up a document without knowing the full URIs before you put it on the Web
[2018-02-26T16:21:40.108Z]	<bigbluehat>	iherman: can you put an example where JSON-LD is different than Turtle
[2018-02-26T16:21:55.182Z]	<bigbluehat>	https://github.com/json-ld/json-ld.org/issues/488
[2018-02-26T16:22:10.886Z]	<bigbluehat>	niklasl: I believe the examples are linked from issue #488
[2018-02-26T16:22:26.248Z]	<gkellogg>	For example, <#relative>
[2018-02-26T16:22:57.863Z]	<bigbluehat>	gkellogg: I think it's relatively understood that it's defined relative to the document base
[2018-02-26T16:23:06.982Z]	<TallTed>	https://github.com/digitalbazaar/jsonld.js/pull/225#issuecomment-361353162
[2018-02-26T16:23:12.590Z]	<bigbluehat>	...and JSON-LD does not provide for that...well...it does, but in an unusual way
[2018-02-26T16:23:21.023Z]	<bigbluehat>	...you can define @vocab and define properties relative to that
[2018-02-26T16:23:30.584Z]	<niklasl>	"prop" {"@id": "some/path"} == :prop <some/path> != <prop> and <some/path> 
