[Tue 10:05]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2013Mar/0029.html
[Tue 10:06]	<manu-db>	scribe: manu-db
[Tue 10:06]	<manu-db>	Any changes to agenda?
[Tue 10:06]	<manu-db>	Topic: ISSUE-224: Sandro Hawke's JSON-LD syntax spec review
[Tue 10:06]	<manu-db>	https://github.com/json-ld/json-ld.org/issues/224
[Tue 10:07]	<manu-db>	manu: Markus, mind taking us through this issue?
[Tue 10:08]	<manu-db>	markus: yep... Sandro thinks using @graph to specify the default graph is confusing. He thinks having an array where the first object is the context and all subsequent objects have the context applied.
[Tue 10:09]	<manu-db>	gregg: that can have strange effects down the line, if you have multiple objects of a property, you'd think that context would apply to subsequent objects in an array. If you had an object that /only/ contained contexts.
[Tue 10:09]	<manu-db>	dlongley: Yeah, we discussed this a long time ago. If you have data in compact form, you can't check links/arrays... you have to look through the entire array to see if there is a context there.
[Tue 10:10]	<manu-db>	markus: We've had this question several times now... it's not that common that you have an array at the top-level. In some cases, it's a security vulnerability.
[Tue 10:10]	<dlongley>	s/links\/arrays/lengths of arrays
[Tue 10:10]	<manu-db>	markus: You can easily alias "@graph" to "data". When we expand, we always expand it to an array at the top level.
[Tue 10:11]	<manu-db>	gkellogg: There is is interest in using a canonical JSON-LD representation as an array. In JSON-LD in HTML stuff, that's something the supporters see as happening... they think it's not well understood by their community. But an array of objects would.
[Tue 10:11]	<manu-db>	markus: If you look at all web apis out there, there's always an object at the top level ... not an array.
[Tue 10:12]	<dlongley>	manu: i agree with markus, there are very few examples of an array being at the top-level in APIs
[Tue 10:12]	<manu-db>	gkellogg: Yeah, maybe if we show an example with @graph aliased to data'
[Tue 10:12]	<manu-db>	markus: Maybe we can do that in that example.
[Tue 10:13]	<dlongley>	manu: I think that sandro's comment may have more to do with unfamiliarity with how JSON is used in the wild, i haven't seen people use JSON in the wild all that much with arrays being at the top-level coming back from API calls, etc
[Tue 10:13]	<dlongley>	manu: I don't think people that author JSON on a regular basis typically have objects at the top-level
[Tue 10:14]	<dlongley>	manu: typically, i'd expect to see something like this in a search result
[Tue 10:14]	<dlongley>	markus: but then you'd also see things like "how many results you got back", etc. and those would be top-level properties
[Tue 10:14]	<dlongley>	markus: and then the array would be underneath another property
[Tue 10:15]	<dlongley>	manu: yeah, we should create an alias example using "results" or something
[Tue 10:15]	<dlongley>	manu: so people can see how that may work
[Tue 10:15]	<dlongley>	markus: that would be dangerous because it would affect the default context
[Tue 10:15]	<dlongley>	manu: i'm not saying do that, just do an example in the spec
[Tue 10:15]	<dlongley>	manu: of using an alias here
[Tue 10:15]	<dlongley>	gkellogg: maybe also add a note asking for feedback for this use case
[Tue 10:16]	* manu-db	thanks dlongley for scribing that bit.
[Tue 10:16]	<manu-db>	markus: Next up - data indexing.
[Tue 10:16]	<manu-db>	markus: Sandro feels it's pretty weird but fairly harmless. He thinks we can index data by an arbitrary property?
[Tue 10:17]	<manu-db>	markus: We've discussed this before, it adds a bunch of complexity. With Data indexing it's about representation of metadata... I would say we do nothing here.
[Tue 10:17]	<manu-db>	markus: having arbitrary properties as indexes is too complex for 1.0.
[Tue 10:17]	<manu-db>	dlongley: I agree as well.
[Tue 10:17]	<manu-db>	gkellogg: Yeah, agree.
[Tue 10:18]	<manu-db>	dlongley: One request for this feature didn't want the RDFa data in the index - it meets the use case that was there for it.
[Tue 10:18]	<manu-db>	gkellogg: The only thing I worry that we're missing is the other pattern from these indexes where you have a top-level key in which the data contains an array of properties. The Microdata JSON is an example of this, where you have id at the top and then properties, and the value of properties is the value of all of the properties.
