[Tue 10:03]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2013Jun/0041.html
[Tue 10:04]	<manu-db>	scribenick: manu-db
[Tue 10:04]	<manu-db>	manu: Any updates or changes to the agenda?
[Tue 10:04]	<manu-db>	Topic: Peter Patel-Schneider's comments
[Tue 10:04]	-->|	dlongley_ (~dlongley@216.252.204.51) has joined #json-ld
[Tue 10:04]	<manu-db>	http://lists.w3.org/Archives/Public/public-rdf-wg/2013Jun/0126.html
[Tue 10:05]	=-=	dlongley_ is now known as dlongley-db
[Tue 10:05]	<manu-db>	pfps: There are two halves to the changes - a very toned down version of feedback from Gregg Reynolds. I agree with his comments.
[Tue 10:05]	<manu-db>	pfps: I agree with his comments, after reading json-ld.org, I agree even more. I think there is something that is actionable.
[Tue 10:05]	-->|	pkuyken (d83e1181@gateway/web/freenode/session) has joined #json-ld
[Tue 10:06]	<manu-db>	pfps: Regarding the "We can't mention RDF because it will annoy JSON folks" - that's bogus. There is json-ld.org. The tender sensibilities of JSON developers will not be harmed by doing the right thing in the W3C spec in the WG.
[Tue 10:06]	<manu-db>	pfps: That's one side of the comment.
[Tue 10:06]	<voip-ld>	<unknown> (IAX2/diamondcard-12208) has joined the conference.
[Tue 10:07]	<manu-db>	pfps: JSON-LD is supposedly a W3C from the RDF WG and it is not related to anything else from W3C.
[Tue 10:07]	<manu-db>	pfps: That's not appropriate. My modest suggestion (truly modest in this case), is to firm up the relationship between JSON-LD and the rest of W3C semantic web specs and Linked Data specs.
[Tue 10:08]	<manu-db>	pfps: I think JSON-LD should be firmly placed on top of RDF. I think that can be accomplished by modifying Appendix A and Appendix C. As far as I can tell, there won't be any changes to the other JSON-LD docs.
[Tue 10:08]	<manu-db>	pfps: Even if those changes are made, we're in an unhappy situation, but I'm willing to hold my nose.
[Tue 10:08]	<clayball>	+1
[Tue 10:08]	<manu-db>	q+
[Tue 10:08]	<voip-ld>	Added manu-db to the speaker queue: manu-db
[Tue 10:08]	<manu-db>	niklasl: I agree on the intent.
[Tue 10:09]	<manu-db>	gkellogg: I've supported what Peter wants to do, I want to balance that with the direction we've been taking. We wanted to de-emphasize RDF, but not for all practical purposes.
[Tue 10:09]	<manu-db>	gkellogg: This is mostly in an effort to get to consensus. I don't think using RDF more expicitly early on is going ot push people away.
[Tue 10:09]	<manu-db>	ack
